"Invoice ID","Unit price","Quantity","Total"
"845-94-6841","72.88","9","688.716"
"668-90-8900","93.69","7","688.6215"
"457-13-1708","65.23","10","684.915"
"538-22-0304","64.95","10","681.975"
"222-42-0244","72.11","9","681.4395"
"263-12-5321","92.6","7","680.61"
"400-89-4171","80.97","8","680.148"
"612-36-5536","80.96","8","680.064"
"149-61-1929","64.19","10","673.995"
"326-78-5178","91.4","7","671.79"
"648-83-1321","63.56","10","667.38"
"347-72-6115","90.74","7","666.939"
"394-55-6384","70.19","9","663.2955"
"868-06-0466","69.58","9","657.531"
"836-82-5858","69.37","9","655.5465"
"189-55-2313","62.18","10","652.89"
"796-12-2025","62.12","10","652.26"
"849-09-3807","88.34","7","649.299"
"452-04-8808","87.08","7","640.038"
"632-32-4574","75.92","8","637.728"
"373-73-7910","86.31","7","634.3785"
"305-18-3552","60.38","10","633.99"
"430-53-4718","75.37","8","633.108"
"759-98-4285","85.87","7","631.1445"
"672-51-8681","66.65","9","629.8425"
"641-62-7288","99.92","6","629.496"
"725-54-0677","85.6","7","629.16"
"667-92-0055","99.83","6","628.929"
"477-24-6490","99.71","6","628.173"
"699-14-3026","85.39","7","627.6165"
"379-17-6588","59.61","10","625.905"
"870-72-4431","99.19","6","624.897"
"125-45-2293","99.1","6","624.33"
"651-88-7328","65.74","9","621.243"
"828-46-6863","98.53","6","620.739"
"648-94-3045","58.95","10","618.975"
"137-63-5492","58.76","10","616.98"
"109-28-2512","97.61","6","614.943"
"887-42-0517","83.14","7","611.079"
"730-50-9884","83.06","7","610.491"
"731-59-7531","72.57","8","609.588"
"131-15-8856","72.52","8","609.168"
"575-30-8091","72.5","8","609"
"152-08-9985","64.36","9","608.202"
"406-46-7107","96.52","6","608.076"
"886-77-9084","71.89","8","603.876"
"262-47-2794","71.86","8","603.624"
"339-96-8318","81.31","7","597.6285"
"314-23-4520","81.23","7","597.0405"
"386-27-7606","81.2","7","596.82"
"299-46-1805","93.72","6","590.436"
"588-47-8641","56.04","10","588.42"
"423-57-2993","93.39","6","588.357"
"136-08-6195","69.96","8","587.664"
"241-11-2261","79.86","7","586.971"
"660-29-7083","55.87","10","586.635"
"802-70-5316","92.13","6","580.419"
"433-08-7822","78.89","7","579.8415"
"541-48-8554","60.95","9","575.9775"
"663-86-9076","68.54","8","575.736"
"272-65-1806","60.88","9","575.316"
"878-30-2331","54.55","10","572.775"
"466-61-5506","90.7","6","571.41"
"827-44-5872","54.36","10","570.78"
"862-59-8517","90.24","6","568.512"
"873-95-4984","76.9","7","565.215"
"166-19-2553","89.06","6","561.078"
"438-23-1242","75.88","7","557.718"
"866-70-2814","52.79","10","554.295"
"541-08-3113","65.97","8","554.148"
"358-88-9262","87.48","6","551.124"
"590-83-4591","87.45","6","550.935"
"210-57-1719","58.24","9","550.368"
"750-67-8428","74.69","7","548.9715"
"645-44-1170","58.07","9","548.7615"
"308-47-4913","52.26","10","548.73"
"154-87-7367","65.26","8","548.184"
"404-91-5964","74.58","7","548.163"
"157-13-5295","51.94","10","545.37"
"241-72-9525","51.91","10","545.055"
"408-26-9866","73.98","7","543.753"
"196-01-2849","73.38","7","539.343"
"785-13-7708","73.06","7","536.991"
"336-78-2147","63.91","8","536.844"
"410-67-1709","63.88","8","536.592"
"370-41-7321","56.69","9","535.7205"
"227-78-1148","72.84","7","535.374"
"721-86-6247","63.42","8","532.728"
"411-77-0180","72.2","7","530.67"
"862-17-9201","84.05","6","529.515"
"767-05-1286","83.77","6","527.751"
"186-79-9562","71.77","7","527.5095"
"857-16-3520","71.46","7","525.231"
"451-28-5717","83.17","6","523.971"
"815-11-1168","99.78","5","523.845"
"868-52-7573","99.69","5","523.3725"
"733-01-9107","82.7","6","521.01"
"552-44-5977","62","8","520.8"
"347-34-2234","55.07","9","520.4115"
"718-57-9773","49.33","10","517.965"
"534-01-4457","81.71","6","514.773"
"624-01-8356","49.01","10","514.605"
"582-52-8065","54.31","9","513.2295"
"483-71-1164","81.3","6","512.19"
"105-31-1824","69.52","7","510.972"
"394-41-0748","54.07","9","510.9615"
"689-05-1884","48.63","10","510.615"
"416-13-5917","97.03","5","509.4075"
"786-94-2700","80.62","6","507.906"
"667-23-5919","96.7","5","507.675"
"626-43-7888","60.41","8","507.444"
"656-95-9349","68.93","7","506.6355"
"160-22-2687","95.95","5","503.7375"
"532-59-7201","79.93","6","503.559"
"201-63-8275","67.99","7","499.7265"
"372-62-5264","52.6","9","497.07"
"474-33-8305","67.39","7","495.3165"
"704-11-6354","58.9","8","494.76"
"871-79-8483","94.13","5","494.1825"
"744-02-5987","78.38","6","493.794"
"239-10-7476","77.95","6","491.085"
"123-19-1176","58.22","8","489.048"
"325-90-8763","46.57","10","488.985"
"114-35-5271","57.91","8","486.444"
"607-76-6216","92.49","5","485.5725"
"318-68-5053","76.99","6","485.037"
"122-61-9553","51.32","9","484.974"
"142-63-6033","92.36","5","484.89"
"782-95-9291","92.29","5","484.5225"
"102-77-2261","65.31","7","480.0285"
"719-89-8991","91.41","5","479.9025"
"809-69-9497","45.68","10","479.64"
"841-35-6630","75.91","6","478.233"
"811-03-8790","45.48","10","477.54"
"577-34-7579","50.49","9","477.1305"
"268-27-6179","56.47","8","474.348"
"130-98-8941","64.26","7","472.311"
"225-32-0908","44.86","10","471.03"
"752-23-3760","64.08","7","470.988"
"458-10-8612","64.08","7","470.988"
"891-01-7034","74.71","6","470.673"
"361-85-2571","89.48","5","469.77"
"760-90-2357","74.51","6","469.413"
"407-63-8975","73.88","6","465.444"
"145-94-9061","88.36","5","463.89"
"263-10-3913","49.04","9","463.428"
"759-29-9521","48.96","9","462.672"
"828-61-5674","44.02","10","462.21"
"840-19-2096","87.91","5","461.5275"
"333-73-7901","54.92","8","461.328"
"462-67-9126","73.22","6","461.286"
"800-09-8606","87.37","5","458.6925"
"765-26-6951","72.61","6","457.443"
"327-40-9673","72.6","6","457.38"
"468-01-2051","62.08","7","456.288"
"401-09-4232","86.69","5","455.1225"
"252-56-2699","43.19","10","453.495"
"405-31-3305","43.13","10","452.865"
"300-71-4605","86.04","5","451.71"
"426-39-2418","61.41","7","451.3635"
"550-84-8664","85.91","5","451.0275"
"316-66-3011","47.63","9","450.1035"
"499-27-7781","53.21","8","446.964"
"781-84-8059","60.74","7","446.439"
"778-89-7974","70.21","6","442.323"
"227-03-5010","52.59","8","441.756"
"730-70-9830","70.11","6","441.693"
"109-86-4363","60.08","7","441.588"
"123-35-4896","46.66","9","440.937"
"845-51-0542","46.55","9","439.8975"
"389-70-2397","83.66","5","439.215"
"732-94-0499","41.65","10","437.325"
"354-25-5821","69.12","6","435.456"
"851-98-3555","82.88","5","435.12"
"355-53-5943","68.84","6","433.692"
"497-37-6538","58.91","7","432.9885"
"420-18-8989","51.52","8","432.768"
"709-58-4068","41.09","10","431.445"
"522-57-8364","51.34","8","431.256"
"834-83-1826","82.04","5","430.71"
"503-07-0930","58.39","7","429.1665"
"472-15-9636","50.93","8","427.812"
"377-79-7592","44.84","9","423.738"
"139-20-0155","40.3","10","423.15"
"380-60-5336","40.26","10","422.73"
"316-55-4634","80.05","5","420.2625"
"659-36-1684","57.12","7","419.832"
"548-46-9322","39.9","10","418.95"
"183-56-6882","99.42","4","417.564"
"213-32-1216","66.06","6","416.178"
"200-40-6154","65.91","6","415.233"
"433-75-6987","55.97","7","411.3795"
"276-54-0879","97.74","4","410.508"
"733-29-1227","55.61","7","408.7335"
"210-74-9613","97.26","4","408.492"
"778-34-2523","48.62","8","408.408"
"595-86-2894","96.98","4","407.316"
"726-27-2396","77.5","5","406.875"
"374-17-3652","42.82","9","404.649"
"266-20-6657","55.04","7","404.544"
"566-71-1091","77.02","5","404.355"
"869-11-3082","96.16","4","403.872"
"115-99-4379","54.73","7","402.2655"
"362-58-8315","76.52","5","401.73"
"711-31-1234","95.64","4","401.688"
"707-32-7409","95.54","4","401.268"
"376-56-3573","95.42","4","400.764"
"530-90-9855","47.59","8","399.756"
"595-27-4851","54.28","7","398.958"
"173-82-9529","37.95","10","398.475"
"534-53-3526","94.76","4","397.992"
"501-61-1753","63.15","6","397.845"
"749-81-8133","94.67","4","397.614"
"369-82-2676","75.66","5","397.215"
"719-76-3868","94.26","4","395.892"
"132-32-9879","93.96","4","394.632"
"559-98-9873","53.65","7","394.3275"
"632-90-0281","37.55","10","394.275"
"603-07-0961","74.79","5","392.6475"
"630-74-5166","62.13","6","391.419"
"658-66-3967","53.19","7","390.9465"
"269-10-8440","53.17","7","390.7995"
"493-65-6248","36.98","10","388.29"
"775-72-1988","73.28","5","384.72"
"608-96-3517","91.54","4","384.468"
"198-84-7132","40.61","9","383.7645"
"299-29-0180","52.18","7","383.523"
"484-22-8230","51.89","7","381.3915"
"834-61-8124","51.69","7","379.9215"
"600-38-9738","71.92","5","377.58"
"533-66-5566","51.07","7","375.3645"
"420-11-4919","71.39","5","374.7975"
"397-25-8725","39.62","9","374.409"
"889-04-9723","89.14","4","374.388"
"731-14-2199","35.54","10","373.17"
"725-67-2480","58.75","6","370.125"
"468-99-7231","44.01","8","369.684"
"662-47-5456","35.19","10","369.495"
"249-42-3782","70.01","5","367.5525"
"212-62-1842","58.26","6","367.038"
"509-29-3912","38.72","9","365.904"
"692-27-8933","57.95","6","365.085"
"633-44-8566","49.38","7","362.943"
"234-36-2483","57.59","6","362.817"
"894-41-5205","43.18","8","362.712"
"500-02-2261","57.29","6","360.927"
"701-69-8742","34.37","10","360.885"
"244-08-0162","34.21","10","359.205"
"505-02-0892","42.57","8","357.588"
"283-79-9594","48.51","7","356.5485"
"134-54-4720","42.42","8","356.328"
"783-09-1637","67.43","5","354.0075"
"741-73-3559","67.27","5","353.1675"
"598-47-9715","84.07","4","353.094"
"149-15-7606","37.32","9","352.674"
"566-19-5475","47.97","7","352.5795"
"422-29-8786","67.09","5","352.2225"
"563-47-4072","55.81","6","351.603"
"803-83-5989","55.73","6","351.099"
"498-41-1961","66.68","5","350.07"
"490-95-0021","33.21","10","348.705"
"257-73-1380","82.93","4","348.306"
"289-15-7034","82.33","4","345.786"
"895-03-6665","36.51","9","345.0195"
"246-11-3901","32.8","10","344.4"
"642-30-6693","54.51","6","343.413"
"810-60-6344","40.86","8","343.224"
"834-25-9262","81.68","4","343.056"
"815-04-6282","64.97","5","341.0925"
"631-41-3108","46.33","7","340.5255"
"725-56-0833","32.32","10","339.36"
"676-39-6028","64.44","5","338.31"
"246-55-6923","35.79","9","338.2155"
"787-56-0757","80.36","4","337.512"
"101-17-6199","45.79","7","336.5565"
"311-13-6971","31.99","10","335.895"
"460-93-5834","45.58","7","335.013"
"374-38-5555","63.71","5","334.4775"
"843-01-4703","35.38","9","334.341"
"477-59-2456","45.44","7","333.984"
"727-17-0390","63.61","5","333.9525"
"608-27-6295","52.89","6","333.207"
"146-09-5432","35.04","9","331.128"
"118-62-1812","78.38","4","329.196"
"129-29-8530","62.62","5","328.755"
"799-71-1548","77.72","4","326.424"
"443-82-0585","77.68","4","326.256"
"220-68-6701","77.47","4","325.374"
"563-91-7120","61.77","5","324.2925"
"434-83-9547","38.47","8","323.148"
"796-32-9050","51.28","6","323.064"
"291-21-5991","61.29","5","321.7725"
"588-01-7461","33.98","9","321.111"
"827-26-2100","33.84","9","319.788"
"853-23-2453","75.74","4","318.108"
"811-35-1094","50.45","6","317.835"
"728-88-7867","75.53","4","317.226"
"685-64-1609","30.14","10","316.47"
"558-60-5016","33.3","9","314.685"
"153-58-4872","74.89","4","314.538"
"420-04-7590","99.7","3","314.055"
"459-45-2396","99.6","3","313.74"
"221-25-5073","74.66","4","313.572"
"846-10-0341","42.57","7","312.8895"
"695-09-5146","98.79","3","311.1885"
"370-96-0655","49.32","6","310.716"
"326-71-2155","73.95","4","310.59"
"269-04-5750","73.82","4","310.044"
"210-67-5886","98.21","3","309.3615"
"647-50-1224","29.42","10","308.91"
"274-05-5470","73.47","4","308.574"
"308-81-0538","73.05","4","306.81"
"130-67-4723","48.5","6","305.55"
"364-34-2972","96.82","3","304.983"
"585-11-6748","96.8","3","304.92"
"847-38-7188","96.68","3","304.542"
"408-66-6712","47.71","6","300.573"
"785-96-0615","35.74","8","300.216"
"189-08-9157","31.73","9","299.8485"
"263-87-5680","28.53","10","299.565"
"427-45-9297","40.73","7","299.3655"
"319-74-2561","94.64","3","298.116"
"409-49-6995","47.27","6","297.801"
"144-51-6085","70.74","4","297.108"
"886-18-2897","56.56","5","296.94"
"286-01-5402","40.23","7","295.6905"
"804-38-3935","93.78","3","295.407"
"689-16-9784","46.77","6","294.651"
"789-23-8625","93.22","3","293.643"
"593-65-1552","69.81","4","293.202"
"302-15-2162","46.53","6","293.139"
"458-41-1477","46.26","6","291.438"
"191-10-6171","39.62","7","291.207"
"235-46-8343","27.66","10","290.43"
"131-70-8179","92.09","3","290.0835"
"430-02-3888","46.02","6","289.926"
"725-32-9708","68.71","4","288.582"
"824-88-3614","34.31","8","288.204"
"425-85-2085","54.86","5","288.015"
"400-80-4065","68.55","4","287.91"
"239-36-3640","45.35","6","285.705"
"316-01-3952","54.27","5","284.9175"
"832-51-6761","33.88","8","284.592"
"597-78-7908","90.22","3","284.193"
"556-41-6224","33.64","8","282.576"
"882-40-4577","67.26","4","282.492"
"670-71-7306","44.63","6","281.169"
"343-61-3544","26.67","10","280.035"
"720-72-2436","66.52","4","279.384"
"549-59-1358","88.63","3","279.1845"
"568-90-5112","66.14","4","277.788"
"562-12-5430","88.15","3","277.6725"
"371-85-5789","87.98","3","277.137"
"380-94-4661","65.94","4","276.948"
"468-88-0009","65.94","4","276.948"
"641-96-3695","43.46","6","273.798"
"342-65-4817","86.8","3","273.42"
"440-59-5691","37.15","7","273.0525"
"238-49-0436","32.46","8","272.664"
"211-05-0490","51.92","5","272.58"
"875-46-5808","25.9","10","271.95"
"448-34-8700","36.91","7","271.2885"
"852-82-2749","64.59","4","271.278"
"539-21-7227","51.54","5","270.585"
"592-46-1692","36.77","7","270.2595"
"235-06-8510","85.72","3","270.018"
"797-88-0493","64.27","4","269.934"
"470-32-9057","51.34","5","269.535"
"288-38-3758","84.87","3","267.3405"
"449-16-6770","50.79","5","266.6475"
"345-68-9016","31.67","8","266.028"
"382-25-8917","42.08","6","265.104"
"740-22-2500","84.05","3","264.7575"
"307-85-2293","50.28","5","263.97"
"574-80-1489","62.85","4","263.97"
"217-58-1179","62.65","4","263.13"
"636-17-0325","62.57","4","262.794"
"712-39-0363","41.66","6","262.458"
"826-58-8051","62.19","4","261.198"
"740-11-5257","24.74","10","259.77"
"793-10-3222","41.06","6","258.678"
"864-24-7918","24.49","10","257.145"
"360-39-5055","48.91","5","256.7775"
"866-05-7563","81.4","3","256.41"
"195-06-0432","81.01","3","255.1815"
"565-67-6697","27","9","255.15"
"584-86-7256","34.56","7","254.016"
"324-41-6833","30.2","8","253.68"
"541-89-9860","80.48","3","253.512"
"458-61-0011","60.3","4","253.26"
"777-82-7220","30.12","8","253.008"
"133-77-3154","60.18","4","252.756"
"531-56-4728","80.08","3","252.252"
"307-83-9164","60.01","4","252.042"
"182-88-2763","79.91","3","251.7165"
"124-31-1458","79.59","3","250.7085"
"728-47-9078","59.59","4","250.278"
"110-05-6330","39.43","6","248.409"
"888-02-0338","26.23","9","247.8735"
"190-59-3964","47.16","5","247.59"
"655-07-2265","78.31","3","246.6765"
"365-64-0515","46.95","5","246.4875"
"809-46-1866","58.15","4","244.23"
"284-34-9626","77.04","3","242.676"
"542-41-0513","57.49","4","241.458"
"857-67-9057","22.95","10","240.975"
"801-88-0346","76.06","3","239.589"
"149-14-0304","28.5","8","239.4"
"256-08-8343","56.53","4","237.426"
"880-35-0356","75.2","3","236.88"
"609-81-8548","37.44","6","235.872"
"151-27-8496","56.13","4","235.746"
"540-11-4336","24.94","9","235.683"
"848-62-7243","24.89","9","235.2105"
"162-48-8011","44.59","5","234.0975"
"447-15-7839","22.24","10","233.52"
"554-53-3790","37.02","6","233.226"
"787-87-2010","55.5","4","233.1"
"156-95-3964","55.39","4","232.638"
"755-12-3214","44.22","5","232.155"
"576-31-4774","73.41","3","231.2415"
"526-86-8552","21.82","10","229.11"
"218-59-9410","72.42","3","228.123"
"695-28-6250","43.06","5","226.065"
"420-97-3340","71.68","3","225.792"
"209-61-0206","42.91","5","225.2775"
"544-55-9589","21.43","10","225.015"
"226-71-3580","23.75","9","224.4375"
"717-96-4189","35.49","6","223.587"
"716-39-1409","30.35","7","223.0725"
"366-43-6862","52.89","4","222.138"
"365-16-4334","26.43","8","222.012"
"457-12-0244","35.22","6","221.886"
"704-20-4138","29.67","7","218.0745"
"551-21-3069","23.07","9","218.0115"
"749-24-1565","23.03","9","217.6335"
"891-58-8335","29.61","7","217.6335"
"777-67-2495","68.97","3","217.2555"
"127-47-6963","51.71","4","217.182"
"354-39-5160","34.42","6","216.846"
"291-55-6563","34.42","6","216.846"
"649-11-3678","22.93","9","216.6885"
"276-75-6884","68.71","3","216.4365"
"439-54-7422","51.19","4","214.998"
"662-72-2873","40.94","5","214.935"
"730-61-8757","51.13","4","214.746"
"345-08-4992","33.99","6","214.137"
"301-81-8610","25.42","8","213.528"
"610-46-4100","28.95","7","212.7825"
"639-76-1242","40.52","5","212.73"
"608-04-3797","25.32","8","212.688"
"305-03-2383","67.1","3","211.365"
"257-60-7754","50.23","4","210.966"
"437-53-3084","99.89","2","209.769"
"446-47-6729","99.82","2","209.622"
"471-41-2823","99.79","2","209.559"
"544-32-5024","49.79","4","209.118"
"831-64-0259","39.75","5","208.6875"
"174-36-3675","99.37","2","208.677"
"514-37-2845","99.25","2","208.425"
"868-81-1752","22.02","9","208.089"
"438-01-4015","49.49","4","207.858"
"191-29-0321","19.77","10","207.585"
"714-02-3114","98.8","2","207.48"
"409-33-9708","98.48","2","206.808"
"521-18-7827","39.39","5","206.7975"
"510-09-5628","19.66","10","206.43"
"502-05-1910","65.18","3","205.317"
"558-80-4082","27.85","7","204.6975"
"518-17-2983","48.63","4","204.246"
"174-75-0888","21.58","9","203.931"
"126-54-1082","21.54","9","203.553"
"254-31-0042","21.5","9","203.175"
"726-29-6793","24.18","8","203.112"
"595-11-5460","96.58","2","202.818"
"288-62-1085","38.54","5","202.335"
"565-17-3836","47.67","4","200.214"
"565-80-5980","47.38","4","198.996"
"375-72-3056","63.06","3","198.639"
"250-17-5703","18.85","10","197.925"
"642-61-4706","93.4","2","196.14"
"282-35-2475","93.31","2","195.951"
"142-72-4741","93.2","2","195.72"
"618-34-8551","93.18","2","195.678"
"645-78-8093","93.14","2","195.594"
"339-18-7061","92.98","2","195.258"
"732-04-5373","46.47","4","195.174"
"674-15-9296","37.14","5","194.985"
"651-61-0874","46.22","4","194.124"
"258-69-7810","36.85","5","193.4625"
"509-10-0516","45.97","4","193.074"
"201-86-2184","26.26","7","193.011"
"120-06-4233","30.61","6","192.843"
"531-80-1784","26.02","7","191.247"
"750-57-9686","45.38","4","190.596"
"704-10-4056","60.47","3","190.4805"
"585-03-5943","18.11","10","190.155"
"727-46-3608","20.01","9","189.0945"
"381-20-0914","20.01","9","189.0945"
"373-88-1424","35.81","5","188.0025"
"418-05-0656","25.56","7","187.866"
"258-92-7466","35.68","5","187.32"
"175-54-2529","22.17","8","186.228"
"745-71-3520","25.22","7","185.367"
"787-15-1757","44.07","4","185.094"
"189-17-4241","87.67","2","184.107"
"271-77-8740","29.22","6","184.086"
"690-01-6631","17.49","10","183.645"
"629-42-4133","21.8","8","183.12"
"746-68-6593","87.16","2","183.036"
"706-36-6154","19.36","9","182.952"
"807-14-7833","17.42","10","182.91"
"873-14-6353","24.82","7","182.427"
"779-42-2410","57.74","3","181.881"
"346-12-3257","19.24","9","181.818"
"636-48-8204","34.56","5","181.44"
"214-30-2776","34.49","5","181.0725"
"744-82-9138","86.13","2","180.873"
"790-29-1172","57.34","3","180.621"
"834-45-5519","43","4","180.6"
"747-58-7183","57.27","3","180.4005"
"788-07-8452","24.24","7","178.164"
"770-42-8960","21.12","8","177.408"
"859-97-6048","84.25","2","176.925"
"635-28-5728","56","3","176.4"
"589-02-8023","83.77","2","175.917"
"242-11-3142","83.77","2","175.917"
"733-33-4967","20.85","8","175.14"
"442-44-6497","55.57","3","175.0455"
"756-93-1854","83.35","2","175.035"
"548-48-3156","83.34","2","175.014"
"485-30-8700","33.26","5","174.615"
"699-01-4164","41.5","4","174.3"
"272-27-9238","41.24","4","173.208"
"692-92-5582","54.84","3","172.746"
"628-34-3388","27.38","6","172.494"
"329-62-1586","54.67","3","172.2105"
"848-42-2560","81.91","2","172.011"
"831-07-6050","32.71","5","171.7275"
"289-65-5721","81.37","2","170.877"
"870-54-3162","32.25","5","169.3125"
"340-21-9136","40.05","4","168.21"
"856-66-2701","53.3","3","167.895"
"518-71-6847","26.6","6","167.58"
"186-71-5196","79.54","2","167.034"
"877-22-3308","15.87","10","166.635"
"414-12-7047","19.79","8","166.236"
"865-92-6136","52.75","3","166.1625"
"199-75-8169","15.81","10","166.005"
"867-47-1948","15.8","10","165.9"
"135-13-8269","78.88","2","165.648"
"139-52-2867","22.51","7","165.4485"
"665-63-9737","52.42","3","165.123"
"278-86-2735","52.34","3","164.871"
"286-62-6248","39.21","4","164.682"
"152-68-2907","52.2","3","164.43"
"497-36-0989","51.94","3","163.611"
"729-09-9681","25.91","6","163.233"
"701-23-5550","38.81","4","163.002"
"851-28-6367","15.5","10","162.75"
"480-63-2856","19.25","8","161.7"
"873-51-0671","21.98","7","161.553"
"655-85-5130","38.3","4","160.86"
"423-80-0988","76.4","2","160.44"
"287-83-1405","25.43","6","160.209"
"795-49-7276","37.15","4","156.03"
"583-72-1480","37.06","4","155.652"
"767-54-1907","29.56","5","155.19"
"437-58-8131","73.52","2","154.392"
"236-27-1144","16.31","9","154.1295"
"173-57-2300","72.88","2","153.048"
"510-95-6347","48.52","3","152.838"
"387-49-4215","48.5","3","152.775"
"340-66-0321","36.36","4","152.712"
"355-34-6244","72.39","2","152.019"
"120-54-2248","28.86","5","151.515"
"378-07-7001","48.09","3","151.4835"
"198-66-9832","72.04","2","151.284"
"613-59-9758","14.36","10","150.78"
"373-14-0504","71.63","2","150.423"
"633-09-3463","47.65","3","150.0975"
"527-09-6272","28.45","5","149.3625"
"715-20-1673","28.38","5","148.995"
"808-65-0703","35.47","4","148.974"
"892-05-6689","28.32","5","148.68"
"459-50-7686","23.46","6","147.798"
"334-64-2006","70.32","2","147.672"
"423-64-4619","15.55","9","146.9475"
"816-72-8853","27.93","5","146.6325"
"695-51-0018","34.84","4","146.328"
"656-16-1063","46.42","3","146.223"
"207-73-1363","69.51","2","145.971"
"620-02-2046","69.4","2","145.74"
"181-94-6432","69.33","2","145.593"
"595-94-9924","27.73","5","145.5825"
"510-79-0415","23.08","6","145.404"
"286-75-7818","69.08","2","145.068"
"751-15-6198","23.01","6","144.963"
"453-12-7053","45.74","3","144.081"
"734-91-1155","45.71","3","143.9865"
"585-86-8361","27.28","5","143.22"
"788-21-5741","45.38","3","142.947"
"134-75-2619","19.32","7","142.002"
"400-45-1220","13.5","10","141.75"
"150-89-8043","44.65","3","140.6475"
"301-11-9629","19.1","7","140.385"
"399-69-4630","22.21","6","139.923"
"776-68-1096","44.12","3","138.978"
"744-09-5786","22.01","6","138.663"
"700-81-1757","26.31","5","138.1275"
"200-16-5952","65.65","2","137.865"
"110-48-7033","32.62","4","137.004"
"767-97-4650","64.83","2","136.143"
"746-54-5508","21.52","6","135.576"
